,name,url,locations,website,28-06 jobs,28-06 employees
128,Homerez,https://www.welcometothejungle.co/fr/companies/homerez,Paris,https://www.homerez.com,6,46
129,Loox,https://www.welcometothejungle.co/fr/companies/loox,Paris,https://looxwb.com,5,15
130,Clustree,https://www.welcometothejungle.co/fr/companies/clustree,Paris,https://www.clustree.com,1,27
131,Ticket for Change,https://www.welcometothejungle.co/fr/companies/ticket-for-change,Paris  Lille  Lyon  Toulouse,https://www.ticketforchange.org,2,20
132,Wanteeed,https://www.welcometothejungle.co/fr/companies/wanteeed,Bordeaux,https://wanteeed.com,2,15
133,OpenCommunities,https://www.welcometothejungle.co/fr/companies/opencommunities,Paris,https://opencommunities-consulting.fr,2,15
134,Georges.tech,https://www.welcometothejungle.co/fr/companies/georges-tech,Lyon,https://www.georges.tech,10,30
135,Delicorner,https://www.welcometothejungle.co/fr/companies/delicorner,Paris,https://delicorner.co,8,30
136,Gymglish,https://www.welcometothejungle.co/fr/companies/gymglish,Paris  Bordeaux,https://www.gymglish.com,16,40
137,PERSONA COURTAGE,https://www.welcometothejungle.co/fr/companies/persona-courtage,Paris,https://www.personacourtage.fr,2,26
138,QUINTESS,https://www.welcometothejungle.co/fr/companies/quintess,Paris,https://www.quintess.fr,2,32
139,R&B Partners,https://www.welcometothejungle.co/fr/companies/r-b-partners,Boulogne-Billancourt,https://www.rbpartners.com,2,30
140,mon-marché.fr,https://www.welcometothejungle.co/fr/companies/mon-marche-fr,Paris  Chevilly-Larue,https://www.mon-marche.fr,6,30
141,PERCKO,https://www.welcometothejungle.co/fr/companies/percko,Paris,https://www.percko.com,2,16
142,Teeps,https://www.welcometothejungle.co/fr/companies/teeps,Paris,https://www.teeps.co,4,21
143,Oyst,https://www.welcometothejungle.co/fr/companies/oyst,Paris  Londres  Paris / London,https://oyst.com,1,25
144,Vroomly,https://www.welcometothejungle.co/fr/companies/vroomly,Paris,https://www.vroomly.com,7,24
145,Nova Lease Solutions,https://www.welcometothejungle.co/fr/companies/nova-lease-solutions,Paris  Nantes,https://www.nova-lease.com,1,17
146,Qopius,https://www.welcometothejungle.co/fr/companies/qopius,Paris,https://www.qopius.com,0,23
147,Wivoo,https://www.welcometothejungle.co/fr/companies/wivoo,Paris,https://wivoo.fr,7,30
148,Onestock,https://www.welcometothejungle.co/fr/companies/onestock,Toulouse,https://www.onestock-retail.com,4,48
149,belazar,https://www.welcometothejungle.co/fr/companies/belazar,Saint-Ouen,https://www.agence-belazar.com,2,17
150,WOODEUM,https://www.welcometothejungle.co/fr/companies/woodeum,Boulogne,https://www.woodeum.com,2,40
151,EldoTravo,https://www.welcometothejungle.co/fr/companies/eldotravo,Toulouse  Bordeaux  Paris,https://www.eldotravo.fr,2,27
152,The Babel Community,https://www.welcometothejungle.co/fr/companies/the-babel-community,Marseille  Montpellier  Paris,https://www.thebabelcommunity.com,1,25
153,ClubFunding,https://www.welcometothejungle.co/fr/companies/clubfunding,Paris,https://www.clubfunding.fr,0,18
154,Solidarité Sida,https://www.welcometothejungle.co/fr/companies/solidarite-sida,Paris,https://www.solidarite-sida.org,2,40
155,Tempow,https://www.welcometothejungle.co/fr/companies/tempow,Paris,https://www.tempow.com,3,18
156,FairMoney,https://www.welcometothejungle.co/fr/companies/fairmoney,Paris  Lagos  Manille,https://www.predictus.io,12,21
157,Bird Office,https://www.welcometothejungle.co/fr/companies/bird-office,Paris,https://www.bird-office.com,4,25
158,LITA.co,https://www.welcometothejungle.co/fr/companies/lita-co,Paris  Brussels  Milano,https://lita.co,10,23
159,Convertible Contemporain Paris,https://www.welcometothejungle.co/fr/companies/convertible-contemporain-paris,Paris,https://www.convertiblecontemporain.fr,0,15
160,Particeep,https://www.welcometothejungle.co/fr/companies/particeep,Paris,https://www.particeep.com,13,25
161,YouGov,https://www.welcometothejungle.co/fr/companies/yougov,Paris,https://fr.yougov.com,2,32
162,Skilleos,https://www.welcometothejungle.co/fr/companies/skilleos,Paris,https://skilleos.com,9,15
163,Honoré Gaming,https://www.welcometothejungle.co/fr/companies/honore-gaming,Paris,https://www.honore-gaming.com,1,21
164,EPSOR,https://www.welcometothejungle.co/fr/companies/epsor,Paris  Angers,https://www.epsor.fr,13,20
165,Open Digital Education,https://www.welcometothejungle.co/fr/companies/open-digital-education,Paris,https://opendigitaleducation.com,6,35
166,Kamp'n,https://www.welcometothejungle.co/fr/companies/kamp-n,Marseille  Paris,https://www.kampn.com,11,15
167,AVISTEL,https://www.welcometothejungle.co/fr/companies/avistel,Carrieres Sur Seine,https://www.avistel.fr,3,18
168,TagPay,https://www.welcometothejungle.co/fr/companies/tagpay,Boulogne-Billancourt,https://tagpay.fr,1,25
169,Easis,https://www.welcometothejungle.co/fr/companies/easis,Paris,https://www.easis-consulting.com,3,24
170,WeMaintain,https://www.welcometothejungle.co/fr/companies/wemaintain,Paris,https://www.wemaintain.com,7,24
171,VALWIN,https://www.welcometothejungle.co/fr/companies/valwin,Nantes  France,https://valwin.fr,9,23
172,Hostnfly,https://www.welcometothejungle.co/fr/companies/hostnfly,Paris,https://www.hostnfly.com,11,18
173,Taste,https://www.welcometothejungle.co/fr/companies/taste,Paris,https://www.tasterh.fr,2,25
174,Zenchef,https://www.welcometothejungle.co/fr/companies/zenchef,Paris,https://www.zenchef.fr,8,40
175,Easy Service Informatique,https://www.welcometothejungle.co/fr/companies/easy-service-informatique,Paris,https://www.easyserviceinformatique.com,3,37
176,OVRSEA,https://www.welcometothejungle.co/fr/companies/ovrsea,Paris,https://www.ovrsea.com,8,18
177,ACTITO France,https://www.welcometothejungle.co/fr/companies/actito-france,Paris,https://www.actito.com,2,20
178,Conceptory,https://www.welcometothejungle.co/fr/companies/conceptory,Paris,https://www.conceptory.fr,3,20
179,WeProov,https://www.welcometothejungle.co/fr/companies/weproov,Paris  Lyon,https://www.weproov.com,1,17
180,Spoon,https://www.welcometothejungle.co/fr/companies/spoon,Paris,https://www.spoon.ai,2,15
181,Ermeo,https://www.welcometothejungle.co/fr/companies/ermeo,Paris,https://www.ermeo.com,5,30
182,Perfluence,https://www.welcometothejungle.co/fr/companies/perfluence,Nogent-Sur-Marne,https://www.perfluence.com,3,16
183,Weematch,https://www.welcometothejungle.co/fr/companies/weematch,Boulogne-Billancourt,https://weematch.fr,3,22
184,Hava3D,https://www.welcometothejungle.co/fr/companies/hava3d,Le Mans  Lyon,https://www.hava3d.com,8,25
185,BEYABLE,https://www.welcometothejungle.co/fr/companies/beyable,Paris,https://www.beyable.com,4,15
186,Watura,https://www.welcometothejungle.co/fr/companies/watura,Saint-Ouen-Sur-Seine,https://www.watura.fr,2,15
187,La Bouquinerie du Sart,https://www.welcometothejungle.co/fr/companies/la-bouquinerie-du-sart,Villeneuve-D'ascq,https://www.bouquineriedusart.com,0,15
188,Colibee,https://www.welcometothejungle.co/fr/companies/colibee,Paris,https://www.colibee.com,6,28
189,MNSTR,https://www.welcometothejungle.co/fr/companies/mnstr,Paris,https://www.mnstr.com,0,40
190,WITH,https://www.welcometothejungle.co/fr/companies/with,Paris  Madrid,https://with-paris.com,4,31
191,Silicon Salad,https://www.welcometothejungle.co/fr/companies/silicon-salad,Lille,https://www.siliconsalad.com,7,25
192,Vitis,https://www.welcometothejungle.co/fr/companies/vitis,Courbevoie,https://vitis.tv,1,20
193,Heuritech,https://www.welcometothejungle.co/fr/companies/heuritech,Paris,https://www.heuritech.com,7,34
194,Supermood,https://www.welcometothejungle.co/fr/companies/supermood,Paris,https://supermood.fr,2,21
195,Tediber,https://www.welcometothejungle.co/fr/companies/tediber,Paris,https://www.tediber.com,0,29
196,Tesora,https://www.welcometothejungle.co/fr/companies/tesora,Arcueil,https://tesora.fr,2,15
197,maplaceencrèche,https://www.welcometothejungle.co/fr/companies/maplaceencreche,Paris,https://www.maplaceencreche.com,6,30
198,UbiCast,https://www.welcometothejungle.co/fr/companies/ubicast,Ivry Sur Seine,https://www.ubicast.eu,4,20
199,Ecov,https://www.welcometothejungle.co/fr/companies/ecov,La Plaine-Saint-Denis  Nantes  Partout En France  Villeurbanne,https://www.ecov.fr,4,22
200,65db,https://www.welcometothejungle.co/fr/companies/65db,Boulogne-Billancourt,https://65db.fr,4,45
201,Joone,https://www.welcometothejungle.co/fr/companies/joone,Paris,https://www.joone.fr,5,35
202,Ayctor,https://www.welcometothejungle.co/fr/companies/ayctor,Paris,https://ayctor.com,3,25
203,Hub-Grade,https://www.welcometothejungle.co/fr/companies/hub-grade,Lyon  Paris,https://www.hub-grade.com,2,22
204,Unibet,https://www.welcometothejungle.co/fr/companies/unibet,Boulogne Billancourt,https://www.unibet.fr,1,41
205,Yogosha,https://www.welcometothejungle.co/fr/companies/yogosha,Paris,https://www.welcometothejungle.co/fr/companies/yogosha,1,15
206,MoovOne,https://www.welcometothejungle.co/fr/companies/moovone,Paris,https://moovone.eu,5,23
207,MagicStay,https://www.welcometothejungle.co/fr/companies/magicstay,Neuilly-Sur-Seine  Grasse,https://fr.magicstay.com,8,20
208,WeScale,https://www.welcometothejungle.co/fr/companies/wescale,Paris  Nantes,https://www.wescale.fr,5,28
209,Quatre Epingles,https://www.welcometothejungle.co/fr/companies/quatre-epingles,Paris,https://www.QuatreEpingles.fr,5,15
210,JAM portage salarial,https://www.welcometothejungle.co/fr/companies/jam-portage-salarial,Neuilly Sur Seine  Lyon  Marseille  Nantes,https://www.jam.fr,2,30
211,Markentive,https://www.welcometothejungle.co/fr/companies/markentive,Paris,https://www.markentive.fr,5,35
212,ILLUCITY,https://www.welcometothejungle.co/fr/companies/illucity,Malakoff,https://www.illucity.fr,1,15
213,Digitevent,https://www.welcometothejungle.co/fr/companies/digitevent,Paris  São Paulo  Brazil,https://www.digitevent.com,9,19
214,Inbenta France,https://www.welcometothejungle.co/fr/companies/inbenta-france,Toulouse,https://www.inbenta.com,0,30
215,Touch & Sell,https://www.welcometothejungle.co/fr/companies/touch-sell,Boulogne-Billancourt  Paris,https://www.touch-sell.com,4,32
216,WOÔ,https://www.welcometothejungle.co/fr/companies/woo,Paris,https://www.woo.paris,12,40
217,Box2Home,https://www.welcometothejungle.co/fr/companies/box2home,Paris  Sousse,https://www.box2home.fr,3,20
218,LALALAB,https://www.welcometothejungle.co/fr/companies/lalalab,Paris,https://www.lalalab.com,3,30
219,Tymate,https://www.welcometothejungle.co/fr/companies/tymate,Lille - Euratechnologies,https://tymate.com,3,23
220,Les Hôtels (très) Particuliers,https://www.welcometothejungle.co/fr/companies/les-hotels-tres-particuliers,Paris,https://hotlsreinvnted.com,0,25
221,Treatwell,https://www.welcometothejungle.co/fr/companies/treatwell,Paris,https://www.treatwell.fr,0,40
222,Social Builder,https://www.welcometothejungle.co/fr/companies/social-builder,Paris,https://socialbuilder.org,7,15
223,N&C,https://www.welcometothejungle.co/fr/companies/n-c,Paris,https://www.n-and-c.eu,5,16
224,Adagio,https://www.welcometothejungle.co/fr/companies/adagio,Montpellier  Paris,https://adagio.io,0,15
225,La Fabrique by CA,https://www.welcometothejungle.co/fr/companies/la-fabrique-by-ca,Paris,https://lafabriquebyca.com,4,15
226,Le Pot Commun,https://www.welcometothejungle.co/fr/companies/le-pot-commun,Paris,https://lepotcommun.fr,2,30
227,5A Conseil,https://www.welcometothejungle.co/fr/companies/5a-conseil,Paris,https://5aconseil.com,3,40
228,Bruce,https://www.welcometothejungle.co/fr/companies/bruce,Paris  Barcelone,https://www.bruce.work,0,36
229,Nature Innovation,https://www.welcometothejungle.co/fr/companies/nature-innovation,Paris  Brunstatt,https://www.welcometothejungle.co/fr/companies/nature-innovation,1,22
230,WeHost,https://www.welcometothejungle.co/fr/companies/wehost,Paris  Bordeaux  Lyon,https://www.wehost.fr,3,20
231,checkmyguest,https://www.welcometothejungle.co/fr/companies/checkmyguest,Paris,https://www.checkmyguest.fr,8,18
232,CARIZY,https://www.welcometothejungle.co/fr/companies/carizy,Courbevoie,https://www.carizy.com,14,28
233,StaffMe,https://www.welcometothejungle.co/fr/companies/staffme,Kremlin Bicêtre  Partout,https://www.staffme.fr,6,35
234,Clac des Doigts,https://www.welcometothejungle.co/fr/companies/clac-des-doigts,Paris,https://clacdesdoigts.com,4,15
235,L'ADN GROUPE,https://www.welcometothejungle.co/fr/companies/l-adn-groupe,Paris,https://www.ladn.eu,3,45
236,SESAMm,https://www.welcometothejungle.co/fr/companies/sesamm,Metz  Luxembourg  Paris  Tunis,https://www.sesamm.com,7,36
237,DigitalRecruiters,https://www.welcometothejungle.co/fr/companies/digitalrecruiters,Paris,https://www.digitalrecruiters.com,1,15
238,Air France Digital Factory,https://www.welcometothejungle.co/fr/companies/air-france-digital-factory,Roissy Cdg Cedex,https://www.welcometothejungle.co/fr/companies/air-france-digital-factory,1,15
239,Socialy,https://www.welcometothejungle.co/fr/companies/socialy,Paris,https://www.socialy.fr,0,17
